Alloy Designation,Mg (wt%),Zn(wt%),Al(wt%),Ca(wt%),Sr(wt%),Zr(wt%),Li(wt%),Y(wt%),,Holding Temperature,Holding Time,,Working Type,Working Temperature,% Deformation,,Matrix Phase,Matrix Grain Size,% Matrix Phase,Precipitate Phase,Precipitate Size,% Precipitate,,Hardness  (HV) ,Elastic modulus  (GPa) ,YS  (MPa) ,UTS  (MPa) ,%Elongation,,Rs (Ω),Rp (Ω),Icorr (μA/cm^2),Ecorr (V),CR (mm/y) ,Solution Name,Reference,Data Entered by
Mg-8.5Li-1Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,115,48,,,,,,,,,
Mg-8.5Li-1Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,170,64,,,,,,,,,
Mg-8.5Li-2Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,114,15,,,,,,,,,
Mg-8.5Li-2Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,120,16,,,,,,,,,
Mg-8.5Li-2Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,173,20,,,,,,,,,
Mg-8.5Li-3Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,105,8,,,,,,,,,
Mg-8.5Li-3Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,110,8.7,,,,,,,,,
Mg-8.5Li-3Ce,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,160,8.7,,,,,,,,,
Mg-2Zn,,2,,,,,,,,,,,,,,,,,,,,,,51,,65,121,5.3,,,,,,,,,
Mg-2Zn,,2,,,,,,,,,,,,,,,,,,,,,,79,,111,198,15.7,,,,,,,,,
Mg-1Zn,,1,,,,,,,,,,,,,,,,100,,,,,,47.33,24.23,60.62,187.73,13.77,,,,,,,,,
Mg-5Zn,,5,,,,,,,,,,,,,,,,55,,,,,,53.8,36.47,75.6,194.59,8.5,,,,,,,,,
Mg-7Zn,,7,,,,,,,,,,,,,,,,56,,,,,,56.26,39.6,67.28,135.53,6,,,,,,,,,
Mg-6Zn,,6,,,,,,,,,,,,,,,,,,,,,,,42.3,169.5,279.5,18.8,,,,,,,,,
Mg-1Zn,,1,,,,,,,,,,,,,,,,15,,,,,,36.4,,,,,,,,,,,,,
Mg-3Zn,,3,,,,,,,,,,,,,,,,15,,,,,,39.8,,,,,,,,,,,,,
Mg-2.9Zn,,2.9,,,,,,,,,,,,,,,,106.5,,,,,,,,84,219,4.7,,,,,,,,,
Mg-3.3Zn,,3.3,,,,,,,,,,,,,,,,155.6,,,,,,,,90,210,4.6,,,,,,,,,
Mg-4Zn,,4,,,,,,,,,,,,,,,,70.2,,,,,,,,95,216,4.1,,,,,,,,,
Mg-2Zn,,2,,,,,,,,,,,,,,,,112.9,,,,,,,,68,155,8.4,,,,,,,,,
Mg-2Zn,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,,,,,
Mg-2Zn,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
Mg-1Zn,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,2.01,0,,
Mg-5Zn,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1.26,0,,
Mg-7Zn,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,3.18,0,,
Mg-6Zn,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72,,0.16,0,,
Mg-1Zn,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.79,,0.08,0,,
Mg-4Zn,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0,,
Mg-6Zn,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,
Mg-1Zn,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,
Mg-3Zn,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,
Mg96Zn3.4Y0.6,,3.4,,,,,,0.6,,,,,,,,,,,,,,,,,,210,355,23.4,,,,,,,,,
Mg95Zn4.3Y0.7,,4.3,,,,,,0.7,,,,,,,,,,,,,,,,,,220,379,19.7,,,,,,,,,
Mg94Zn2Y4,,2,,,,,,4,,,,,,,,,,,,,,,,80.8,,96.5,130,2.9,,,,,,,,,
Mg94Zn2Y4,,2,,,,,,4,,,,,,,,,,,,,,,,108.9,,246.4,389.6,2.8,,,,,,,,,
Mg94Zn2Y4,,2,,,,,,4,,,,,,,,,,,,,,,,129.7,,272.3,410.7,2.8,,,,,,,,,
Mg-2.1Zn-0.26Y,,2.2,,,,,,0.26,,,,,,,,,,0.81,,,,,,,,360,410,12,,,,,,,,,
Mg-3.3Zn-0.43Y,,3.3,,,,,,0.43,,,,,,,,,,0.5,,,,,,,,410,440,12,,,,,,,,,
Mg-1.98Zn-0.36Y,,1.98,,,,,,0.36,,,,,,,,,,,,,,,,,,198,260,23,,,,,,,,,
Mg-1.84Zn-0.82Y,,1.84,,,,,,0.82,,,,,,,,,,,,,,,,,,213,266,25,,,,,,,,,
Mg-1.73Zn-1.54Y,,1.73,,,,,,1.54,,,,,,,,,,,,,,,,,,215,266,27,,,,,,,,,
Mg-1Zn-1Mn,,1,,,,,,,,,,,,,,,,,,,,,,,,246.5,280.3,21.8,,,,,,,,,
Mg-2Zn-1Mn,,2,,,,,,,,,,,,,,,,,,,,,,,,248.8,283.8,20.9,,,,,,,,,
Mg-3Zn-1Mn,,3,,,,,,,,,,,,,,,,,,,,,,,,275.9,345.5,10.5,,,,,,,,,
Mg-5Zn-1Mn,,5,,,,,,,,,,,,,,,,30,,,,,,,,229.9,299.88,11.5,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,108,335,20.3,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,154,460,20.5,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,209,305,11.55,,,,,,,,,
Mg-1Zn-1Mn,,1,,,,,,,,,,,,,,,,,,,,,,,,,175,15,,,,,,,,,
Mg-1Zn-1Mn,,1,,,,,,,,,,,,,,,,,,,,,,,,,275,22,,,,,,,,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,213,312,11.1,,,,,,,,,
Mg-4Zn-1Pb,,4,,,,,,,,,,,,,,,,,,,,,,65,,84,233,14,,,,,,,,,
Mg-4Zn-1Sn,,4,,,,,,,,,,,,,,,,,,,,,,67,,104,237,10,,,,,,,,,
Mg-4Zn-3Sn,,4,,,,,,,,,,,,,,,,,,,,,,70,,129,250,8,,,,,,,,,
